date_only,bidder_name,pub_name,pub_id,endpoint,pub_type,device_type,auctions,impressions,spend
2025-02-10,Xandr,"Telly, Inc.",512853,SOVRN Direct - All - Sequoia,publisher,CTV,2168,2168,10.48
2025-02-10,Magnite,Simple Bros,516644,TAM DIRECT - Mobile In-App - TREE,publisher,APP,4029,4029,0.4
2025-02-10,Madhive,Syncbak,466272,SOVRN Direct ALLOWLIST - Disable Throttle,publisher,CTV,35,35,0.44
2025-02-10,Centro,Fox News,492131,ISO - Relaxed Shaping - TREE,publisher,DESKTOP,55,55,0.1
2025-02-10,UnrulyX,Flipboard,543104,SOVRN - Direct All - TREE,publisher,APP,289,289,0.42
2025-02-10,Centro,Aloha-ads,523648,Centro - West In East,publisher,APP,2207,2207,7.2
2025-02-10,BoldWin,Twist Digital,271355,US-East - SOVRN Direct Video TREE (Reseller Demand),publisher,APP,404,404,0.6
2025-02-10,UnrulyX,Tvisionary,501771,SOVRN - Direct All - TREE,publisher,APP,3545,3545,5.87
2025-02-10,Beeswax,Activision Blizzard Media,534985,SOVRN Direct - All TREE,publisher,APP,366,366,0.65
2025-02-10,DV360,LG Ads Plus,491414,SOVRN Direct CTV - Sequoia FUZZY,publisher,CTV,180,180,3.33
2025-02-10,Centro,MPW Digital,299507,SOVRN Direct - TREE,publisher,CTV,131,131,1.8
2025-02-10,Beeswax,Voise Tech,511365,SOVRN Direct - All TREE,publisher,CTV,5,5,0.08
2025-02-10,Simpli.fi,Future Today,444732,CTV Direct Banner & Video,publisher,CTV,122,122,2.2
2025-02-10,BidSwitch,Taiv,512531,SOVRN Direct - TREE,publisher,CTV,295,295,1.61
2025-02-10,TaurusX,Ookla,235106,Mobile App - Tree,publisher,APP,384,384,0.49
2025-02-10,Madhive,SportX,512157,SOVRN Direct ALLOWLIST - Disable Throttle,publisher,APP,64,64,0.75
2025-02-10,Krush Media,47 Samurai,448926,CTV - Priority Bundles,publisher,CTV,399,399,1.67
2025-02-10,Xandr,Twist Digital,271355,SOVRN Direct - All - Sequoia,publisher,APP,343,343,0.67
2025-02-10,Beeswax,Play Works Ltd,517910,SOVRN Direct - All CTV - RPM,publisher,CTV,371,371,5.03
2025-02-10,Edge226,Ookla,235106,SSP (Dauup) IA EP - Publishers,publisher,APP,205,205,0.2
2025-02-10,RTB House,DailyMail Online,99835,SOVRN Direct - All - Tree,publisher,APP,133,133,0.19
2025-02-10,Beeswax,Sinclair Media Group,472580,SOVRN Direct - All CTV - RPM,publisher,CTV,40,40,0.35
2025-02-10,BidSwitch,LG Ad Solutions,489566,SOVRN Direct - TREE,publisher,CTV,15,15,0.15
2025-02-10,Sovrn,"Telly, Inc.",512853,TEST Evan Dev To Phantom,publisher,CTV,86,86,0.43
2025-02-10,DV360,MPW Digital,299507,SOVRN Direct CTV - Sequoia FUZZY,publisher,CTV,1,1,0.03
2025-02-10,PubMatic,47 Samurai,448926,SOVRN Direct - No Shaping,publisher,OTHER,17,17,0.06
2025-02-10,DV360,TCL,466180,SOVRN Direct CTV - Sequoia FUZZY,publisher,CTV,9,9,0.12
2025-02-10,Equativ,"ODK Media, Inc.",197688,In-App Direct TREE,publisher,APP,59,59,0.06
2025-02-10,Centro,Fox News,492131,ISO - Relaxed Shaping - TREE,publisher,OTHER,38,38,0.05
2025-02-10,Beeswax,Tvisionary,501771,SOVRN Direct - All TREE,publisher,APP,35,35,0.06
2025-02-10,Simpli.fi,Sky UK,273340,SOVRN Direct All - Sequoia,publisher,APP,5,5,0.01
2025-02-10,Opera Bidder,"Data Sales Services, Inc.",518584,SOVRN Direct - Mobile App TREE,publisher,APP,10,10,0.02
2025-02-10,Krush Media,Tvisionary,501771,CTV - SOVRN Direct All - Tree,publisher,CTV,22,22,0.31
2025-02-10,Krush Media,Aloha-ads,523648,TTL Test - In-App Banner,publisher,APP,64,64,0.07
2025-02-10,Centro,"Data Sales Services, Inc.",518584,Centro - West In East,publisher,APP,15,15,0.02
2025-02-10,Simpli.fi,Trinity Broadcasting Network,523838,CTV Direct Banner & Video,publisher,CTV,9,9,0.1
